ligand,"Binder/
Nonbinder",Average HSA score,SD HSA score
Minoxidil,0,33.83,6.85
Moxalactam derivative,0,,
Myristic acid,0,,
N1-alkyl pyrimidinedione 10a,0,85.9,
N1-alkyl pyrimidinedione 10b,0,83.4,
N1-alkyl pyrimidinedione 10c,0,99.1,
N1-alkyl pyrimidinedione 10d,0,99.9,
N1-alkyl pyrimidinedione 11,0,99.3,
N1-alkyl pyrimidinedione 12,0,98.7,
N1-alkyl pyrimidinedione 13,0,98,
N1-alkyl pyrimidinedione 16,0,96,
N1-alkyl pyrimidinedione 8b,0,,
N1-alkyl pyrimidinedione 9,0,85.1,
Nalidixic acid,0,92.92,
Naphthalene,0,,
Naproxen,0,90.27,14.51
Naringenin,0,98.86,0.55
Nelfinavir,0,75.82,1.05
Nelvirapine,0,78.66,2.35
Nicardipine,0,87.27,9.48
Niflumic acid,0,,
Nimesulide,0,94.83,6.83
Nizatidine,0,30.1,8.41
Norfloxacin,0,57.99,
Nortriptylene,0,79.94,13.93
Novobiocin,0,84.41,21.62
O1-pentyl-mannose,0,,
Ochratoxin A,0,,
Ondansetron,0,77.55,13.76
Oxazepam,0,88.51,9.49
Oxprenolol,0,32.08,13.26
Oxyphenbutazone,0,82.51,29.15
Paracoxib,0,99,
Phenacetin,0,39.19,4.61
Phenprocoumon,0,,
Phenylbutazone,0,85.38,16.72
Phenytoin,0,68.65,14.5
Pindolol,0,32.01,11.83
Piroxicam,0,90.86,7.74
PJ2,0,,
Platinum (II) di-chloride,0,,
Pranoprofen ,0,,
Prazosin,0,66.09,13.18
Prednisolone,0,55.52,26.88
Pregnenolone,0,96.24,
Probenecid,0,86.44,10.35
Procainamide,0,39.19,4.61
Procaine,0,46.74,15.86
Proctolol,0,,
Progesterone,0,79.55,
Promazine,0,93.67,6.23
Propimazine,0,,
Propofol,0,,
Propranolol,0,64.67,4.69
Propylthiouracil,0,30.13,11.36
Protriptyline,0,75.18,9.96
Proxiphylline,0,32.28,7.36
Quercetin,0,99.26,0.36
Quinidine,0,65.92,7.64
Quinine,0,74.13,7.36
Quinoline,0,,
"R-,S-Chloroquine",0,,
"R-,S-Warfarin",0,84.18,20.07
Ranitidine,0,31.85,13.14
Ritonavir,0,71.4,3.14
Rofecoxib ,0,82,
Ropinirole ,0,93.75,
Salbutamol,0,29.9,
Salicylamide ,0,,
Salmeterol ,0,91.1,
Salsalate ,0,,
Saquinavir ,0,84.83,9.22
Scopolamine ,0,31.37,
Sotalol,0,,
Stavudine,0,83,1.41
Sulfadimethoxine,0,89.53,9.98
Sulfamethizole,0,,
Sulfamethoxazole,0,45.44,25.64
Sulfamethoxypyridazine,0,75.8,10.04
Sulfametopyrazine,0,63.53,6.2
Sulfamoxole,0,,
Sulfapyridine,0,26.72,9.15
Sulfasalazine ,0,78.41,
Sulfinpyrazone,0,88.78,9.73
Sulfisoxazole ,0,83.76,10.19
Sulindac ,0,92.23,7.55
Sumatriptan ,0,47.12,
Suprofen ,0,98.91,
Suprofen ester,0,98.66,
Tamoxifen ,0,90.64,8.96
Tenoxicam,0,99.55,
Terazosin,0,40.89,
Terbinafine,0,93.67,
Testosterone,0,87.5,6.23
Tetracaine,0,67.63,
Tetracycline,0,70.87,36
Thymoquinone,0,,
Tipranavir,0,,
Tolbutamide ,0,81.55,23.97
Tolmetin ,0,91.71,9.36
Tramadol ,0,31.79,7.49
Triflupromazine,0,94.44,3.7
Trimethoprim ,0,39.41,3.23
Valdecoxib,0,82,
Valproic acid,0,97.19,
Verapamil,0,69.86,8.33
Zolmitriptan,0,35.89,6.11
Zomepirac,0,96.32,3.78
4-hydroxylmethyl-quinolone,1,,
5-fluorouracil,1,,
Acetaminophen,1,19.48,8.62
Acyclovir,1,11.07,8.55
Allopurinol,1,0,
Amikacin,1,,
Amiloride,1,24.92,7.58
Amisulpride,1,,
Amoxicillin,1,18.36,11.18
Amphetamine,1,,
Antipyrine,1,19.94,8.18
Argatroban,1,20,
Atenolol,1,13.94,15.47
Bethanidine,1,,
Bleomycin,1,1,
Busulfan,1,,
Caffeine,1,12.54,2.55
Captopril,1,11.6,16.12
Cefepime,1,27.43,
Cefradine,1,18.65,5.69
Cephaloridin,1,15.95,
Codeine,1,,
Cromoglicate,1,3.92,5.55
Cyclophosphamide,1,,
Decitabine,1,,
Ebselen,1,4.18,5.91
Erythromycylamine,1,,
Ethosuximide,1,17.39,0.15
Etoposide,1,24.45,
Fenoterol,1,,
Fluconazole,1,,
Flucytosine,1,7.2,
Fludarabine phosphate,1,,
Fosfomycin,1,,
Gabapentin,1,,
Galantamine,1,,
Gemcitabine,1,,
Guanethidine,1,,
Heroin,1,,
Hydrocodone,1,,
Indinavir,1,,
Iohexol,1,,
Ioxaglic acid,1,,
Ioxilan,1,,
Ketamine,1,,
Levetiracetam,1,,
Lisinopril,1,,
Melphalan,1,,
Meptazinol,1,,
Mercaptopurine,1,,
Metformin,1,,
Methimazole,1,,
Methyldopa,1,,
Metoprolol,1,24.7,13.01
Morphine,1,,
Moxisylate,1,28.86,
Nadolol,1,20.45,14.71
Nelarabine,1,,
Nicotine,1,,
Oseltamivir,1,,
Penicillin V ,1,16.96,
Pentostatin,1,,
Practolol,1,13.63,
Pramipexole,1,,
Rizatriptan ,1,,
Sotalol ,1,29.04,17.5
Spiramycin,1,,
Tenofovir,1,,
Thiotepa,1,,
Timolol ,1,24.93,9.81
Topiramate ,1,,
Topotecan ,1,,
Tranexamic acid ,1,,
Venlafaxine,1,,
Zalcitabine,1,63,
Zanamivir,1,,
Zidovudine ,1,22.97,10.26
Antrafenine,2,,
Aspirin,2,60.23,40.28
azithromicin,2,,
cefuroxime,2,39.17,32.08
lamivudine,2,84,
Linezolid,2,,
L-tryptophan,2,73.37,39.66
neostigmine,2,62.3,28.17
salicylic acid ,2,66.75,34.29
sulfaphenazole,2,68.66,43.15
Tolazamide ,2,79.91,34.92
