No,Ligand Name,Canonical SMILES,InChIKey,DOI or link to data source,Albumin source organism,"Albumin concentration, μM",Albumin modifications,"Ligand concentration, μM",pH,Buffer,"Buffer concentration, M","Temperature, K",Method,Method details,Model,Ka in M scale,Kd in M scale,n,"ΔH, kJ/mol",Ka2,Kd2,n2,ΔH2,Tag,Ligand ChEMBL ID,Assay ChEMBL ID or BindingDB Ref
11,"(2E)-1-[2-(4-Chlorophenyl)-1,3-Benzodiazol-1-Yl]-3-Phenylprop-2-En-1-One",Clc1ccc(cc1)c1nc2c(n1C(=O)/C=C/c1ccccc1)cccc2,OXQMPUBKBBUVQQ-XNTDXEJSSA-N,10.1039/C5MD00293A,Homo sapiens,2.5,,0.25-2,7.4,Phosphate,0.1,288,Fluorescence spectroscopy,,Stern-Volmer,203000,,,,,,,,CHEMBL,CHEMBL3770893,CHEMBL3773811
12,"(2E)-1-[2-(4-Chlorophenyl)-1,3-Benzodiazol-1-Yl]-3-Phenylprop-2-En-1-One",Clc1ccc(cc1)c1nc2c(n1C(=O)/C=C/c1ccccc1)cccc2,OXQMPUBKBBUVQQ-XNTDXEJSSA-N,10.1039/C5MD00293A,Homo sapiens,2.5,,0.25-2,7.4,Phosphate,0.1,298,Fluorescence spectroscopy,,Stern-Volmer,137000,,,,,,,,CHEMBL,CHEMBL3770893,CHEMBL3773812
13,"(2E)-1-[2-(4-Chlorophenyl)-1,3-Benzodiazol-1-Yl]-3-Phenylprop-2-En-1-One",Clc1ccc(cc1)c1nc2c(n1C(=O)/C=C/c1ccccc1)cccc2,OXQMPUBKBBUVQQ-XNTDXEJSSA-N,10.1039/C5MD00293A,Homo sapiens,2.5,,0.25-2,7.4,Phosphate,0.1,308,Fluorescence spectroscopy,,Stern-Volmer,114000,,,,,,,,CHEMBL,CHEMBL3770893,CHEMBL3773813
14,(2E)-1-[5-Hydroxy-2-Methyl-2-(4-Methylpent-3-En-1-Yl)Chromen-6-Yl]-3-(Pyridin-3-Yl)Prop-2-En-1-One,CC(=CCCC1(C)C=Cc2c(O1)ccc(c2O)C(=O)/C=C/c1cccnc1)C,BNDUKXQLGVTYAZ-CSKARUKUSA-N,10.1021/jm401893j,Bos taurus,10,,,7.4,Tris-HCl,0.1,,Fluorescence spectroscopy,,Stern-Volmer,270000,,,,,,,,CHEMBL,CHEMBL2331603,CHEMBL3271842
15,"(2R,3R,4S,5R)-2-(6-{Bicyclo[2.2.1]Heptan-2-Ylamino}Purin-9-Yl)-5-(Hydroxymethyl)Oxolane-3,4-Diol",OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NC1CC2CC1CC2,YKPCEENRZZBDMC-STHLEMNDSA-N,10.1021/jm00149a016,Bos taurus,37.5-300,,25,7.4,Phosphate,0.1,,Gel-filtration chromatography,,Method of Hummel and Dryer,5690,,,,,,,,CHEMBL,CHEMBL489640,CHEMBL810805
16,"(2R,3R,4S,5R)-2-[6-(Butylamino)Purin-9-Yl]-5-(Hydroxymethyl)Oxolane-3,4-Diol",CCCCNc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO,YJRFEVRDDAASMO-IDTAVKCVSA-N,10.1021/jm00149a016,Bos taurus,37.5-300,,25,7.4,Phosphate,0.1,,Gel-filtration chromatography,,Method of Hummel and Dryer,2890,,,,,,,,CHEMBL,CHEMBL1290748,CHEMBL810805
17,"(2R,3R,4S,5R)-2-[6-(Cycloheptylamino)Purin-9-Yl]-5-(Hydroxymethyl)Oxolane-3,4-Diol",OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NC1CCCCCC1,LVRXGPGFWBAHOI-LSCFUAHRSA-N,10.1021/jm00149a016,Bos taurus,37.5-300,,25,7.4,Phosphate,0.1,,Gel-filtration chromatography,,Method of Hummel and Dryer,9250,,,,,,,,CHEMBL,CHEMBL2113430,CHEMBL810805
18,"(2R,3R,4S,5R)-2-[6-(Cyclooctylamino)Purin-9-Yl]-5-(Hydroxymethyl)Oxolane-3,4-Diol",OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NC1CCCCCCC1,TUBLKCBQFVQEOG-SCFUHWHPSA-N,10.1021/jm00149a016,Bos taurus,37.5-300,,25,7.4,Phosphate,0.1,,Gel-filtration chromatography,,Method of Hummel and Dryer,27500,,,,,,,,CHEMBL,CHEMBL2113424,CHEMBL810805
19,"(2R,3R,4S,5R)-2-{6-[(2R)-Butan-2-Ylamino]Purin-9-Yl}-5-(Hydroxymethyl)Oxolane-3,4-Diol",CC[C@H](Nc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO)C,YJUIOYNLBQJUHH-BAYCTPFLSA-N,10.1021/jm00149a016,Bos taurus,37.5-300,,25,7.4,Phosphate,0.1,,Gel-filtration chromatography,,Method of Hummel and Dryer,1010,,,,,,,,CHEMBL,CHEMBL2094076,CHEMBL810805
20,"(2R,3R,4S,5R)-2-{6-[(2S)-Butan-2-Ylamino]Purin-9-Yl}-5-(Hydroxymethyl)Oxolane-3,4-Diol",CC[C@@H](Nc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO)C,YJUIOYNLBQJUHH-TWBCTODHSA-N,10.1021/jm00149a016,Bos taurus,37.5-300,,25,7.4,Phosphate,0.1,,Gel-filtration chromatography,,Method of Hummel and Dryer,1470,,,,,,,,CHEMBL,CHEMBL2093942,CHEMBL810805
21,"(2R,3S,4R)-2-(Hydroxymethyl)-5-[6-(Pentan-3-Ylamino)Purin-9-Yl]Oxolane-3,4-Diol",CCC(Nc1ncnc2c1ncn2C1O[C@@H]([C@H]([C@H]1O)O)CO)CC,SCSBSXRGHHOWMT-FJFSNTMWSA-N,10.1021/jm00149a016,Bos taurus,37.5-300,,25,7.4,Phosphate,0.1,,Gel-filtration chromatography,,Method of Hummel and Dryer,2120,,,,,,,,CHEMBL,CHEMBL605440,CHEMBL810805
22,"(2R,3S,4R)-2-(Hydroxymethyl)-5-{6-[(2-Methylpropyl)Amino]Purin-9-Yl}Oxolane-3,4-Diol",OC[C@H]1OC([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NCC(C)C,HWGBXKPHIGGCNS-OYBGHCQBSA-N,10.1021/jm00149a016,Bos taurus,37.5-300,,25,7.4,Phosphate,0.1,,Gel-filtration chromatography,,Method of Hummel and Dryer,2020,,,,,,,,CHEMBL,CHEMBL605858,CHEMBL810805
23,"(2R,3S,4R,5R)-2-(Hydroxymethyl)-5-[6-(Isopropylamino)Purin-9-Yl]Oxolane-3,4-Diol",OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NC(C)C,LILZBBGKOTULGC-QYVSTXNMSA-N,10.1021/jm00149a016,Bos taurus,37.5-300,,25,7.4,Phosphate,0.1,,Gel-filtration chromatography,,Method of Hummel and Dryer,1120,,,,,,,,CHEMBL,CHEMBL260167,CHEMBL810805
24,"(2S)-1-(2-{[(2S,3S,5R)-3-Azido-5-[(5-Methyl-2,4-Dioxo-3H-Pyrimidin-1-Yl)Methyl]Oxolan-2-Yl]Methoxy}-2-Oxoacetyl)Pyrrolidine-2-Carboxylic Acid",[N-]=[N+]=N[C@H]1C[C@@H](O[C@@H]1COC(=O)C(=O)N1CCC[C@H]1C(=O)O)Cn1cc(C)c(=O)[nH]c1=O,FUWFYRZFZKZYPN-MROQNXINSA-N,10.1016/j.bmc.2008.01.007,Homo sapiens,,,,7.4,Phosphate,0.05,,Ultrafiltration,,,944.6,,,,,,,,CHEMBL,CHEMBL261104,CHEMBL922850
25,"(2S)-2-(2-{[(2S,3S,5R)-3-Azido-5-[(5-Methyl-2,4-Dioxo-3H-Pyrimidin-1-Yl)Methyl]Oxolan-2-Yl]Methoxy}-2-Oxoacetamido)-3-(1H-Indol-3-Yl)Propanoic Acid",[N-]=[N+]=N[C@H]1C[C@@H](O[C@@H]1COC(=O)C(=O)N[C@H](C(=O)O)Cc1c[nH]c2c1cccc2)Cn1cc(C)c(=O)[nH]c1=O,NGQUGDXJNDJCOZ-GRGSLBFTSA-N,10.1016/j.bmc.2008.01.007,Homo sapiens,,,,7.4,Phosphate,0.05,,Ultrafiltration,,,1803.2,,,,,,,,CHEMBL,CHEMBL409624,CHEMBL922850
26,"(2S)-2-(2-{[(2S,3S,5R)-3-Azido-5-[(5-Methyl-2,4-Dioxo-3H-Pyrimidin-1-Yl)Methyl]Oxolan-2-Yl]Methoxy}-2-Oxoacetamido)-3-(4-Hydroxyphenyl)Propanoic Acid",[N-]=[N+]=N[C@H]1C[C@@H](O[C@@H]1COC(=O)C(=O)N[C@H](C(=O)O)Cc1ccc(cc1)O)Cn1cc(C)c(=O)[nH]c1=O,PVDZIMZLWOPKTL-LTIDMASMSA-N,10.1016/j.bmc.2008.01.007,Homo sapiens,,,,7.4,Phosphate,0.05,,Ultrafiltration,,,1224.4,,,,,,,,CHEMBL,CHEMBL406638,CHEMBL922850
27,"(2S)-2-(2-{[(2S,3S,5R)-3-Azido-5-[(5-Methyl-2,4-Dioxo-3H-Pyrimidin-1-Yl)Methyl]Oxolan-2-Yl]Methoxy}-2-Oxoacetamido)-3-Methylbutanoic Acid",[N-]=[N+]=N[C@H]1C[C@@H](O[C@@H]1COC(=O)C(=O)N[C@H](C(=O)O)C(C)C)Cn1cc(C)c(=O)[nH]c1=O,DQYUIUTXBKQBBO-XQHKEYJVSA-N,10.1016/j.bmc.2008.01.007,Homo sapiens,,,,7.4,Phosphate,0.05,,Ultrafiltration,,,1535,,,,,,,,CHEMBL,CHEMBL406933,CHEMBL922850
28,"(2S)-2-(2-{[(2S,3S,5R)-3-Azido-5-[(5-Methyl-2,4-Dioxo-3H-Pyrimidin-1-Yl)Methyl]Oxolan-2-Yl]Methoxy}-2-Oxoacetamido)-3-Phenylpropanoic Acid",O=C(C(=O)N[C@H](C(=O)O)Cc1ccccc1)OC[C@H]1O[C@H](C[C@@H]1N=[N+]=[N-])Cn1cc(C)c(=O)[nH]c1=O,HJCDGMVVNLTALZ-LTIDMASMSA-N,10.1016/j.bmc.2008.01.007,Homo sapiens,,,,7.4,Phosphate,0.05,,Ultrafiltration,,,1174.4,,,,,,,,CHEMBL,CHEMBL409705,CHEMBL922850
29,"(2S)-2-(2-{[(2S,3S,5R)-3-Azido-5-[(5-Methyl-2,4-Dioxo-3H-Pyrimidin-1-Yl)Methyl]Oxolan-2-Yl]Methoxy}-2-Oxoacetamido)-4-Methylpentanoic Acid",CC(C[C@@H](C(=O)O)NC(=O)C(=O)OC[C@H]1O[C@H](C[C@@H]1N=[N+]=[N-])Cn1cc(C)c(=O)[nH]c1=O)C,FJKZZZVEKLXUQD-ZOBORPQBSA-N,10.1016/j.bmc.2008.01.007,Homo sapiens,,,,7.4,Phosphate,0.05,,Ultrafiltration,,,2457,,,,,,,,CHEMBL,CHEMBL412092,CHEMBL922850
30,"(2S)-3-(3'-{[2-(Cyclopropylamino)-3,4-Dioxocyclobut-1-En-1-Yl]Amino}-[1,1'-Biphenyl]-4-Yl)-2-(2,4,6-Trimethylbenzenesulfonamido)Propanoic Acid",Cc1cc(C)c(c(c1)C)S(=O)(=O)N[C@H](C(=O)O)Cc1ccc(cc1)c1cccc(c1)NC1C(=O)C(=O)C1NC1CC1,NFEGUQUZTHOMJQ-JRFCFUNGSA-N,10.1016/j.bmcl.2007.09.039,Homo sapiens,,,,,,,,Equilibrium dialysis,,,,4.20E-07,,,,,,,BindingDB,CHEMBL249990,50402298
31,"(2S)-3-{3'-[(Cyclopropylcarbamoyl)Amino]-[1,1'-Biphenyl]-4-Yl}-2-(2,4,6-Trimethylbenzenesulfonamido)Propanoic Acid",O=C(Nc1cccc(c1)c1ccc(cc1)C[C@@H](C(=O)O)NS(=O)(=O)c1c(C)cc(cc1C)C)NC1CC1,KUZMKJHBJRIPSL-VWLOTQADSA-N,10.1016/j.bmcl.2007.09.039,Homo sapiens,,,,,,,,Equilibrium dialysis,,,,7.40E-07,,,,,,,BindingDB,CHEMBL10811,50402294
32,"(2S,3S)-2-(2-{[(2S,3S,5R)-3-Azido-5-[(5-Methyl-2,4-Dioxo-3H-Pyrimidin-1-Yl)Methyl]Oxolan-2-Yl]Methoxy}-2-Oxoacetamido)-3-Methylpentanoic Acid",CC[C@@H]([C@@H](C(=O)O)NC(=O)C(=O)OC[C@H]1O[C@H](C[C@@H]1N=[N+]=[N-])Cn1cc(C)c(=O)[nH]c1=O)C,OXXNTDPSNIHVAK-BQQXIIOZSA-N,10.1016/j.bmc.2008.01.007,Homo sapiens,,,,7.4,Phosphate,0.05,,Ultrafiltration,,,3765.4,,,,,,,,CHEMBL,CHEMBL411891,CHEMBL922850
33,"(2Z)-1-[4-Fluoro-2-(Piperidin-1-Yl)Phenyl]-3-Phenyl-2-(1,2,4-Triazol-1-Yl)Prop-2-En-1-One",Fc1ccc(c(c1)N1CCCCC1)C(=O)/C(=C/c1ccccc1)/n1cncn1,GFCCCDYCMMEETL-BKUYFWCQSA-N,?,Homo sapiens,,,,,,,298,,,,36400,,,,,,,,CHEMBL,CHEMBL3099077,CHEMBL3101486
34,"(2Z)-1-[4-Fluoro-2-(Piperidin-1-Yl)Phenyl]-3-Phenyl-2-(1,2,4-Triazol-1-Yl)Prop-2-En-1-One",Fc1ccc(c(c1)N1CCCCC1)C(=O)/C(=C/c1ccccc1)/n1cncn1,GFCCCDYCMMEETL-BKUYFWCQSA-N,?,Homo sapiens,,,,7.4,,,286,Fluorescence spectroscopy,,Modified Stern-Volmer,45400,,,,,,,,CHEMBL,CHEMBL3099077,CHEMBL3101494
35,"(2Z)-1-[4-Fluoro-2-(Piperidin-1-Yl)Phenyl]-3-Phenyl-2-(1,2,4-Triazol-1-Yl)Prop-2-En-1-One",Fc1ccc(c(c1)N1CCCCC1)C(=O)/C(=C/c1ccccc1)/n1cncn1,GFCCCDYCMMEETL-BKUYFWCQSA-N,?,Homo sapiens,,,,7.4,,,298,Fluorescence spectroscopy,,Modified Stern-Volmer,36400,,,,,,,,CHEMBL,CHEMBL3099077,CHEMBL3101492
36,"(2Z)-1-[4-Fluoro-2-(Piperidin-1-Yl)Phenyl]-3-Phenyl-2-(1,2,4-Triazol-1-Yl)Prop-2-En-1-One",Fc1ccc(c(c1)N1CCCCC1)C(=O)/C(=C/c1ccccc1)/n1cncn1,GFCCCDYCMMEETL-BKUYFWCQSA-N,?,Homo sapiens,,,,7.4,,,310,Fluorescence spectroscopy,,Modified Stern-Volmer,29500,,,,,,,,CHEMBL,CHEMBL3099077,CHEMBL3101491
37,"(2Z)-1-[4-Fluoro-2-(Piperidin-1-Yl)Phenyl]-3-Phenyl-2-(1,2,4-Triazol-1-Yl)Prop-2-En-1-One",Fc1ccc(c(c1)N1CCCCC1)C(=O)/C(=C/c1ccccc1)/n1cncn1,GFCCCDYCMMEETL-BKUYFWCQSA-N,?,Homo sapiens,,,,7.4,,,286,Fluorescence spectroscopy,,Scatchard,46000,,,,,,,,CHEMBL,CHEMBL3099077,CHEMBL3101489
38,"(2Z)-1-[4-Fluoro-2-(Piperidin-1-Yl)Phenyl]-3-Phenyl-2-(1,2,4-Triazol-1-Yl)Prop-2-En-1-One",Fc1ccc(c(c1)N1CCCCC1)C(=O)/C(=C/c1ccccc1)/n1cncn1,GFCCCDYCMMEETL-BKUYFWCQSA-N,?,Homo sapiens,,,,7.4,,,298,Fluorescence spectroscopy,,Scatchard,36400,,,,,,,,CHEMBL,CHEMBL3099077,CHEMBL3101490
39,"(2Z)-1-[4-Fluoro-2-(Piperidin-1-Yl)Phenyl]-3-Phenyl-2-(1,2,4-Triazol-1-Yl)Prop-2-En-1-One",Fc1ccc(c(c1)N1CCCCC1)C(=O)/C(=C/c1ccccc1)/n1cncn1,GFCCCDYCMMEETL-BKUYFWCQSA-N,?,Homo sapiens,,,,7.4,,,310,Fluorescence spectroscopy,,Scatchard,30300,,,,,,,,CHEMBL,CHEMBL3099077,CHEMBL3101488
40,"(2Z)-1-[4-Fluoro-2-(Piperidin-1-Yl)Phenyl]-3-Phenyl-2-(1,2,4-Triazol-1-Yl)Prop-2-En-1-One",Fc1ccc(c(c1)N1CCCCC1)C(=O)/C(=C/c1ccccc1)/n1cncn1,GFCCCDYCMMEETL-BKUYFWCQSA-N,?,Homo sapiens,,,,7.4,,,286,Fluorescence spectroscopy,,,75900,,,,,,,,CHEMBL,CHEMBL3099077,CHEMBL3101495
41,"(2Z)-1-[4-Fluoro-2-(Piperidin-1-Yl)Phenyl]-3-Phenyl-2-(1,2,4-Triazol-1-Yl)Prop-2-En-1-One",Fc1ccc(c(c1)N1CCCCC1)C(=O)/C(=C/c1ccccc1)/n1cncn1,GFCCCDYCMMEETL-BKUYFWCQSA-N,?,Homo sapiens,,,,7.4,,,298,Fluorescence spectroscopy,,,67200,,,,,,,,CHEMBL,CHEMBL3099077,CHEMBL3101496
42,"(2Z)-1-[4-Fluoro-2-(Piperidin-1-Yl)Phenyl]-3-Phenyl-2-(1,2,4-Triazol-1-Yl)Prop-2-En-1-One",Fc1ccc(c(c1)N1CCCCC1)C(=O)/C(=C/c1ccccc1)/n1cncn1,GFCCCDYCMMEETL-BKUYFWCQSA-N,?,Homo sapiens,,,,7.4,,,310,Fluorescence spectroscopy,,,58400,,,,,,,,CHEMBL,CHEMBL3099077,CHEMBL3101493
43,"(2Z)-4-(2,5-Dicyclohexylphenyl)-2-Hydroxy-4-Oxobut-2-Enoic Acid",OC(=O)/C(=C/C(=O)c1cc(ccc1C1CCCCC1)C1CCCCC1)/O,JUSJHTODTYGLHO-STZFKDTASA-N,10.1016/j.ejmech.2017.10.045,Homo sapiens,0.5,,,7.38,"Phosphate, NaCl, KCl",0.03,293,Fluorescence spectroscopy,,Double logarithmic plot,10471285.480509,,1.14,,,,,,CHEMBL,CHEMBL4164587,CHEMBL4142047
44,"(2Z)-4-(2,5-Dicyclohexylphenyl)-2-Hydroxy-4-Oxobut-2-Enoic Acid",OC(=O)/C(=C/C(=O)c1cc(ccc1C1CCCCC1)C1CCCCC1)/O,JUSJHTODTYGLHO-STZFKDTASA-N,10.1016/j.ejmech.2017.10.045,Homo sapiens,0.5,,,7.38,"Phosphate, NaCl, KCl",0.03,303,Fluorescence spectroscopy,,Double logarithmic plot,6918309.70918937,,1.11,,,,,,CHEMBL,CHEMBL4164587,CHEMBL4142048
45,"(2Z)-4-(2,5-Dicyclohexylphenyl)-2-Hydroxy-4-Oxobut-2-Enoic Acid",OC(=O)/C(=C/C(=O)c1cc(ccc1C1CCCCC1)C1CCCCC1)/O,JUSJHTODTYGLHO-STZFKDTASA-N,10.1016/j.ejmech.2017.10.045,Homo sapiens,0.5,,,7.38,"Phosphate, NaCl, KCl",0.03,310,Fluorescence spectroscopy,,Double logarithmic plot,5623413.2519035,,1.10,,,,,,CHEMBL,CHEMBL4164587,CHEMBL4142049
46,"(2Z)-4-(2,5-Dicyclohexylphenyl)-2-Hydroxy-4-Oxobut-2-Enoic Acid",OC(=O)/C(=C/C(=O)c1cc(ccc1C1CCCCC1)C1CCCCC1)/O,JUSJHTODTYGLHO-STZFKDTASA-N,10.1016/j.ejmech.2017.10.045,Homo sapiens,0.5,,,7.38,"Phosphate, NaCl, KCl",0.03,293,Fluorescence spectroscopy,,Modified Stern-Volmer,1060000,,,,,,,,CHEMBL,CHEMBL4164587,CHEMBL4142044
47,"(2Z)-4-(2,5-Dicyclohexylphenyl)-2-Hydroxy-4-Oxobut-2-Enoic Acid",OC(=O)/C(=C/C(=O)c1cc(ccc1C1CCCCC1)C1CCCCC1)/O,JUSJHTODTYGLHO-STZFKDTASA-N,10.1016/j.ejmech.2017.10.045,Homo sapiens,0.5,,,7.38,"Phosphate, NaCl, KCl",0.03,303,Fluorescence spectroscopy,,Modified Stern-Volmer,1020000,,,-6.64,,,,,CHEMBL,CHEMBL4164587,CHEMBL4142045
48,"(2Z)-4-(2,5-Dicyclohexylphenyl)-2-Hydroxy-4-Oxobut-2-Enoic Acid",OC(=O)/C(=C/C(=O)c1cc(ccc1C1CCCCC1)C1CCCCC1)/O,JUSJHTODTYGLHO-STZFKDTASA-N,10.1016/j.ejmech.2017.10.045,Homo sapiens,0.5,,,7.38,"Phosphate, NaCl, KCl",0.03,310,Fluorescence spectroscopy,,Modified Stern-Volmer,950000,,,,,,,,CHEMBL,CHEMBL4164587,CHEMBL4142046
49,"(2Z)-4-(2,5-Dicyclohexylphenyl)-2-Hydroxy-4-Oxobut-2-Enoic Acid",OC(=O)/C(=C/C(=O)c1cc(ccc1C1CCCCC1)C1CCCCC1)/O,JUSJHTODTYGLHO-STZFKDTASA-N,10.1016/j.ejmech.2017.10.045,Homo sapiens,0.5,,,7.38,"Phosphate, NaCl, KCl",0.03,293,Fluorescence spectroscopy,,Stern-Volmer,1720000,,,,,,,,CHEMBL,CHEMBL4164587,CHEMBL4142044
50,"(2Z)-4-(2,5-Dicyclohexylphenyl)-2-Hydroxy-4-Oxobut-2-Enoic Acid",OC(=O)/C(=C/C(=O)c1cc(ccc1C1CCCCC1)C1CCCCC1)/O,JUSJHTODTYGLHO-STZFKDTASA-N,10.1016/j.ejmech.2017.10.045,Homo sapiens,0.5,,,7.38,"Phosphate, NaCl, KCl",0.03,303,Fluorescence spectroscopy,,Stern-Volmer,1600000,,,,,,,,CHEMBL,CHEMBL4164587,CHEMBL4142045
51,"(2Z)-4-(2,5-Dicyclohexylphenyl)-2-Hydroxy-4-Oxobut-2-Enoic Acid",OC(=O)/C(=C/C(=O)c1cc(ccc1C1CCCCC1)C1CCCCC1)/O,JUSJHTODTYGLHO-STZFKDTASA-N,10.1016/j.ejmech.2017.10.045,Homo sapiens,0.5,,,7.38,"Phosphate, NaCl, KCl",0.03,310,Fluorescence spectroscopy,,Stern-Volmer,1480000,,,,,,,,CHEMBL,CHEMBL4164587,CHEMBL4142046
